Cameroon,Measles,6105.00,3217.00,771.00,1509.00,2809.00,814.00,712.00,338.00,1809.00,831.00,760.00,609.00,504.00,240.00,251.00,495.00,100.00,196.00,605.00,358.00,899.00,1448.00,23934.00,14629.00,10894.00,10731.00,7504.00,11770.00,2463.00,1548.00,10892.00,27442.00,14622.00,21150.00,24314.00,23207.00,16654.00,31936.00,47178.00,38580.00,58904.00,33876.00,10546.00,
Canada,Measles,12.00,3.00,0.00,1.00,113.00,28.00,45.00,11.00,195.00,418.00,83.00,10.00,803.00,99.00,14.00,62.00,101.00,13.00,6.00,7.00,15.00,6.00,34.00,206.00,29.00,12.00,579.00,327.00,2361.00,523.00,203.00,2742.00,6178.00,1033.00,11145.00,609.00,2385.00,14941.00,2816.00,4078.00,934.00,1064.00,2307.00,13864.00
Cayman Islands,Measles,0.00,0.00,0.00,0.00,,0.00,0.00,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,1.00,3.00,2.00,4.00,5.00,9.00,0.00,2.00,9.00
Central African Republic,Measles,3841.00,155.00,286.00,3433.00,3390.00,224.00,801.00,367.00,150.00,210.00,596.00,141.00,679.00,2.00,11.00,12.00,49.00,3.00,471.00,1233.00,652.00,938.00,2837.00,3207.00,600.00,146.00,194.00,248.00,902.00,,1694.00,3022.00,3644.00,1275.00,331.00,1898.00,2148.00,1785.00,2446.00,6395.00,1564.00,2563.00,3820.00,8280.00
Chad,Measles,11862.00,2158.00,2577.00,2170.00,1882.00,1457.00,9.00,118.00,418.00,1275.00,226.00,120.00,8650.00,194.00,165.00,63.00,441.00,1594.00,2.00,10324.00,15801.00,7277.00,24908.00,3546.00,6868.00,12371.00,10446.00,24162.00,21952.00,9696.00,20894.00,19035.00,21182.00,7226.00,7449.00,3645.00,3623.00,3500.00,6430.00,6921.00,5160.00,1223.00,36.00,
Chile,Measles,1.00,0.00,0.00,2.00,11.00,24.00,0.00,0.00,9.00,0.00,0.00,0.00,6.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,31.00,6.00,58.00,0.00,0.00,0.00,1.00,1.00,2098.00,1958.00,13008.00,45079.00,2623.00,12563.00,17101.00,4785.00,6752.00,9438.00,6527.00,3844.00
China,Measles,621.00,552.00,554.00,867.00,2974.00,3940.00,5941.00,24820.00,42361.00,52628.00,26883.00,6183.00,9943.00,38159.00,52461.00,131441.00,109023.00,99602.00,124219.00,70549.00,71879.00,58341.00,88962.00,71093.00,61840.00,53030.00,79621.00,68404.00,53232.00,76204.00,117851.00,140048.00,123428.00,85705.00,85049.00,96994.00,104925.00,198738.00,418159.00,619709.00,781475.00,892870.00,1010755.00,1122285.00
"China, Hong Kong SAR",Measles,4.00,3.00,1.00,1.00,90.00,17.00,4.00,9.00,18.00,50.00,8.00,8.00,13.00,13.00,22.00,69.00,88.00,,,,33.00,,179.00,60.00,32.00,56.00,318.00,110.00,33.00,210.00,29.00,329.00,278.00,48.00,139.00,3162.00,194.00,215.00,280.00,678.00,888.00,1863.00,249.00,1669.00
"China, Macao SAR",Measles,0.00,0.00,0.00,0.00,37.00,3.00,2.00,0.00,0.00,,1.00,1.00,1.00,,0.00,4.00,0.00,,0.00,0.00,3.00,,3.00,5.00,1.00,0.00,3.00,,3.00,52.00,21.00,35.00,1.00,19.00,4.00,642.00,0.00,104.00,265.00,110.00,231.00,0.00,9.00,73.00
Colombia,Measles,0.00,0.00,0.00,1.00,244.00,208.00,0.00,0.00,1.00,0.00,1.00,1.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,139.00,3.00,1.00,44.00,61.00,67.00,160.00,410.00,525.00,9105.00,7976.00,10391.00,12520.00,12598.00,14801.00,20620.00,5180.00,5572.00,11849.00,13099.00,9273.00,19612.00,9222.00
Comoros,Measles,51.00,4.00,0.00,0.00,65.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,0.00,1.00,0.00,0.00,85.00,912.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2328.00,170.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1801.00
Congo,Measles,385.00,6718.00,160.00,37.00,66.00,28.00,958.00,277.00,1359.00,71.00,124.00,260.00,315.00,4.00,1.00,2.00,84.00,126.00,146.00,3524.00,3712.00,2788.00,2152.00,1678.00,313.00,174.00,1267.00,3897.00,2381.00,226.00,693.00,4302.00,4042.00,3608.00,498.00,454.00,1420.00,6424.00,7600.00,18615.00,16642.00,12931.00,9668.00,11892.00
Cook Islands,Measles,,,,,0.00,0.00,,,,,,0.00,0.00,0.00,0.00,0.00,1.00,6.00,0.00,0.00,17.00,0.00,0.00,2.00,0.00,9.00,194.00,0.00,7.00,0.00,3.00,9.00,61.00,36.00,691.00,15.00,16.00,5.00,50.00,1.00,4.00,14.00,57.00,363.00
Costa Rica,Measles,1.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.00,0.00,1.00,0.00,0.00,0.00,23.00,27.00,26.00,24.00,35.00,0.00,273.00,2361.00,6296.00,76.00,33.00,358.00,4004.00,4534.00,1.00,11.00,39.00,167.00,170.00,1000.00
Croatia,Measles,3.00,0.00,0.00,0.00,52.00,23.00,7.00,4.00,206.00,,0.00,2.00,12.00,7.00,2.00,51.00,0.00,1.00,2.00,54.00,19.00,6.00,8.00,9.00,31.00,648.00,240.00,119.00,697.00,138.00,87.00,160.00,117.00,119.00,,,,,,,,,,
Cuba,Measles,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,12.00,17.00,12.00,12.00,121.00,858.00,3312.00,2874.00,3315.00,3287.00,23408.00,18387.00,3924.00
Curaçao,Measles,,,,,1.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Measles,0.00,0.00,1.00,1.00,6.00,15.00,3.00,0.00,0.00,10.00,0.00,1.00,0.00,18.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,,0.00,0.00,1.00,1.00,55.00,0.00,0.00,0.00,20.00,1.00,4.00,0.00,0.00,0.00,1.00,1.00,3.00,183.00,27.00,3.00,0.00
